"FareType","originX","originY","destX","destY","MaxWait","MaxCost"
"default",3,3,16,10,164.62396709362469,70
"default",38,27,12,37,280.33565002208087,140
"default",15,43,27,20,266.4915978044201,130
"default",31,15,23,16,82.21612075435253,40
"default",8,8,10,21,148.54616540501215,70
"default",40,26,21,24,205.26383856837413,100
"default",30,44,15,42,162.1817078331211,80
"default",24,32,20,25,117.72006642249988,40
"default",30,19,9,9,251.28962333813783,120
"default",17,10,26,26,196.1382844276784,90
"default",10,37,29,24,263.31646055264235,120
"default",10,18,16,20,74.31434897163723,30
"default",30,16,16,20,150.49345819862685,70
"default",27,40,24,33,80.21593592154437,40
"default",44,44,16,40,289.8380218335592,140
"default",43,30,5,5,456.55167601133024,230
"default",42,15,20,5,263.1983311894408,120
"default",24,18,20,17,61.812560428619776,20
"default",29,15,20,11,99.48929734879428,50
"default",22,27,20,3,256.162284763973,120
"default",20,19,20,16,34.66370057851267,20
"default",32,17,19,24,161.00573684332423,70
"default",14,10,43,30,388.61434976525163,180
"default",30,20,10,36,258.5199756346575,130
"default",40,13,48,48,362.3916164408637,180
"default",19,40,8,42,116.13890025159014,60
"default",40,18,33,18,86.87401033007622,40
"default",20,28,43,10,304.60834839339094,150
"default",10,33,45,15,403.88814805376165,200
"default",29,40,19,10,328.6399712485803,160
"default",11,40,1,10,340.11130803844867,160
"default",5,44,2,35,105.97766229466966,50
"default",26,15,30,48,341.3439719345007,170
"default",20,7,30,25,210.18009141744938,100
"default",20,23,22,18,58.280978610791,30
"default",27,38,21,19,204.18268918657733,100
"default",36,15,27,20,114.36246631211384,50
"default",33,15,27,24,126.99147580004853,50
"default",8,35,4,10,257.3776180129492,130
"default",13,24,24,25,112.07065433049284,60
"default",40,22,30,19,106.42141789948352,50
"default",22,17,42,42,345.53632468430635,160
"default",40,12,40,3,97.0983611035167,40
"default",12,20,10,37,175.84886618425926,90
"budget",20,20,20,0,250.80073746073353,400.0
"default",22,12,26,24,141.90262916911286,60
"default",2,47,32,40,316.1711707416927,150
"opportune",40,15,24,24,80.16686082807757,609.9033976096457
"default",28,40,34,20,226.96216206718353,100
"opportune",10,20,24,23,12.570786520941093,485.9595083588239
"default",23,25,16,10,188.39825785042987,80
"default",13,20,0,10,169.79816575732045,80
"default",23,24,35,23,123.08114471793569,60
"default",21,40,40,3,425.64564157349446,210
"default",40,2,36,24,231.0848623163681,110
"default",16,40,30,21,238.03611189591157,120
"default",40,5,10,32,406.71863324492097,200
"default",30,28,20,3,273.5099770234909,130
"default",1,1,38,27,470.6059456111209,230
"default",22,26,31,40,172.64002637160277,80
"normal",30,24,24,25,31.860536237577513,17.585011633519137
"default",42,42,40,29,133.10481148591683,70
"default",46,46,24,28,295.2243628567891,140
"default",24,29,20,29,46.33637195726908,20
"default",26,24,7,7,265.63359524504426,130
"default",3,46,42,12,522.5141776859488,260
"default",22,40,41,15,324.96113203802975,160
"rich",10,20,20,25,18.10847777157297,10.892254625068777
"default",40,16,24,40,296.79113681762163,140
"default",40,1,24,30,344.076845055392,170
"budget",24,24,20,0,289.5017766710979,486.62100242385753
"default",20,25,4,4,298.47927110250936,130
"default",44,30,32,17,181.46361998888557,90
"default",24,25,33,40,177.70676489226614,90
"default",24,31,2,10,324.32998295423795,150
"default",24,33,16,33,83.71276144442079,40
"default",42,11,25,22,211.7283108207509,100
"default",29,39,15,43,170.91099437639141,70
"rich",10,35,24,21,38.036137272485384,6.175218256338289
"default",11,10,3,46,381.45806329186286,180
"normal",10,10,27,24,32.52869510721243,49.58065954374659
"default",40,6,10,17,325.01316019692297,160
"opportune",10,35,24,26,30.61791500778441,620.081784560007
"default",10,23,10,29,71.0115140433073,30
"default",40,14,12,24,301.70076028185184,150
"default",30,45,6,6,462.5499815337992,230
"default",40,33,16,24,265.9331166099995,130
"default",19,40,20,14,269.5007251187603,130
"default",10,13,37,15,278.36808655372516,140
"default",6,10,3,35,270.05313180624114,130
"default",26,21,45,30,213.70715410608545,110
"default",37,26,24,19,149.99715962940823,70
"default",24,30,15,45,191.97314153692207,90
"hurry",0,49,20,0,32.79274395895845,50
"rich",0,10,14,34,38.65271907273019,6.307820332631345
"default",20,27,35,23,164.71077276049525,80
"default",47,3,40,39,375.537237437477,180
"default",15,45,21,28,190.0372606799847,90
"default",8,42,20,5,392.4705032005917,190
"default",9,35,9,10,253.86747202356412,120
"default",20,29,20,18,114.67397686917325,60
"default",2,2,28,38,451.68666707860257,220
"hurry",20,10,0,0,15.144441794514877,50
"default",1,48,28,24,375.3208825707061,180
"default",37,25,20,1,299.51634164593486,150
"default",14,40,30,28,205.23144776517992,100
"default",24,32,9,9,282.65793678032077,140
"default",10,18,21,11,142.35952613361079,70
"default",18,32,26,24,131.03376681291562,60
"default",20,3,11,34,335.22240114871306,160
"default",21,19,30,45,284.5798470194513,140
"default",40,25,24,23,167.59715864314865,80
"default",47,2,30,16,225.51035900988526,110
"default",16,39,30,18,272.5586225811105,130
"default",15,41,45,6,471.42105936854847,230
"default",27,24,40,27,140.5666888484071,70
"default",13,34,13,20,148.09235784126597,70
"default",15,33,30,43,190.20889696354484,90
"normal",40,15,25,25,29.112712896229244,78.8679493125425
"default",40,38,32,15,257.02842746668244,120
"default",36,40,7,42,314.9720834568482,150
"default",1,10,4,45,359.57067390175285,180
"default",12,24,23,40,200.20641430070154,100
"default",15,20,28,18,133.3527858758009,70
"default",30,21,20,25,114.59241785416427,50
"default",48,30,30,43,224.02719430559947,110
"rich",10,10,48,15,18.96847070242549,2.5291140046792604
"normal",30,15,28,28,32.033953129654705,65.32490376657324
"default",40,36,38,28,113.20989522165577,40
"default",16,20,29,40,249.85551375219842,120
"default",41,30,21,21,221.49151406530882,110
"default",36,24,31,15,118.40575884897063,50
"default",8,35,34,21,314.26420650224304,150
"rich",30,15,26,21,33.37749419672184,7.096399907646534
"default",24,26,42,12,238.24153822472363,110
"default",40,37,20,6,376.7660391122881,180
"default",20,13,10,34,236.107544385808,120
"default",45,30,30,48,237.2657924548483,120
"default",30,47,42,42,139.96962379779683,60
"default",20,6,40,4,214.5932612699698,100
"default",20,15,16,20,69.25160327927554,30
"default",30,18,28,18,38.96103794907309,10
"default",30,17,23,23,96.82992164427876,50
"default",20,29,20,26,31.451535141236903,20
"opportune",10,20,24,22,62.40171797977927,307.64796310443836
"default",34,21,25,15,115.48790797480451,50
"default",19,24,45,30,275.8546051565226,130
"opportune",15,40,27,24,84.01324199117668,407.0792315385691
"default",10,25,25,40,226.89189653573692,110
"default",29,39,25,40,56.87658580023306,20
"default",20,1,10,26,270.73525072113404,130
"default",27,27,25,34,76.36375237007425,40
"default",10,17,40,4,334.53466253457907,160
"hurry",40,15,20,0,4.144508464855946,50
"default",10,18,10,10,87.58588678513333,40
"default",10,36,15,45,122.58520595812396,50
"rich",10,35,21,31,34.15143000010739,1.342094613243732
"default",20,15,29,16,97.72606648726307,50
"default",24,20,0,49,387.594264103913,190
"default",30,19,21,11,130.7737589431687,60
"default",13,34,20,5,305.4703923409484,150
"normal",0,0,27,24,21.339591917291134,42.978020983923976
"default",36,15,7,42,400.8425174372553,200
"default",40,4,24,27,290.5526017794535,140
"default",35,22,29,15,126.10265432481867,50
"default",40,29,13,38,290.3154646529594,140
"default",28,40,20,2,403.25838935532073,190
"opportune",10,35,26,24,27.663632453653147,544.9137867123859
"default",47,30,40,26,87.89991926242128,40
"default",27,20,29,31,124.29419133082793,60
"default",19,10,28,17,119.82206771753197,60
"normal",30,15,27,27,23.761484386065696,77.0100355566743
"normal",24,24,25,25,11.35307133171516,0.6756632333348956
"rich",10,20,39,15,45.11236082747616,5.3137238109389076
"FareType","originX","originY","destX","destY","MaxWait","MaxCost"
"default",20,8,30,49,432.5475841165853,210
"default",21,29,31,15,174.77407464555185,90
"default",48,48,34,40,165.21114564311665,80
"hurry",24,15,0,0,8.76019975232905,50
"budget",24,24,20,0,309.31297140351137,486.62100242385753
"default",37,25,6,35,336.6778344081032,160
"default",24,28,4,45,269.1182745629234,130
"default",35,15,30,41,286.61655657573584,130
"rich",10,10,15,42,46.72458173665484,5.742389893627441
"default",42,15,15,48,429.29546087697526,210
"default",4,4,3,46,444.7332380412363,210
"default",7,7,10,24,187.61831685654397,90
"default",33,40,39,15,271.54752381246135,130
"default",37,40,14,20,310.34427582213493,150
"rich",10,20,23,23,56.16913962203374,2.7568864348148114
"default",40,4,28,24,237.35690231233139,120
"default",34,40,40,11,302.27801676805075,150
"hurry",24,35,0,0,24.783032356700645,50
"rich",20,10,22,22,48.16674029774872,6.363521801722579
"default",20,27,2,35,204.9477401796313,100
"default",20,5,25,25,225.01083117087995,100
"default",24,26,20,2,245.47531962889337,120
"default",40,39,24,23,236.10686513025777,110
"default",32,17,41,14,118.7664409084469,50
"default",28,32,41,41,166.13281084763113,80
"normal",40,15,24,27,35.108138309443575,38.95064701406959
"default",48,1,42,11,119.6151148423815,60
"opportune",20,20,24,26,43.5154314370749,217.2478384434334
"default",8,8,10,38,312.020131508106,150
"default",23,25,16,24,72.87456213923973,40
"rich",10,20,23,24,29.02249421664024,9.609233537292317
"default",24,23,21,29,79.80499890435998,30
"default",36,24,46,46,261.9210475703929,120
"default",39,40,46,4,383.9257098051364,180
"default",11,36,20,22,176.3187656256912,80
"normal",24,35,26,24,27.141176305173325,26.604406166927422
"default",10,15,15,33,190.51233399512842,90
"rich",10,35,15,41,19.557632683597735,6.124284471300622
"rich",20,20,12,40,36.332180681347374,7.874628960140088
"default",24,21,36,40,230.40278769319139,110
"default",2,2,24,21,296.67571800414703,150
"random",20,20,24,29,39.0719329836923,168.1250678113554
"budget",30,40,0,0,547.715657694418,1000.0
"default",43,30,3,10,459.34750850831307,220
"default",9,41,10,36,70.73616109195724,30
"default",10,26,19,31,112.68999591395279,50
"default",24,22,44,15,215.338083220592,110
"default",23,14,35,22,153.16160520460082,70
"default",14,34,3,46,167.78891515393258,80
"default",44,15,40,34,202.33642124987475,100
"default",8,10,24,40,346.766567880008,170
"default",40,36,21,28,209.7357770705574,100
"default",10,27,40,3,395.82896230714425,190
"default",35,22,0,49,443.69614176574123,220
"rich",24,35,40,13,25.81351511895302,16.20479254160248
"normal",20,30,27,27,22.679699163813012,22.76616466882111
"hurry",15,40,0,0,1.1690295493669332,50
"default",18,24,10,20,100.57877903974291,40
"default",22,13,43,15,214.4851666047036,110
"default",24,25,10,24,148.8125030680504,70
"default",33,18,46,4,198.1273681930646,100
"default",20,23,37,40,242.36773100838923,120
"default",10,32,18,20,156.01375727796824,70
"default",31,15,30,21,97.5762151039232,30
"default",16,33,16,20,133.63540157514245,60
"default",6,6,48,48,596.7376063801584,300
"default",27,15,20,10,94.52770270547563,40
"default",18,10,40,28,294.3108986508419,140
"default",22,22,12,20,107.40514063086164,50
"default",35,40,22,33,151.7618484046369,70
"normal",24,35,28,28,26.429866326801417,17.466154300547725
"default",24,17,30,30,148.7381411094546,70
"normal",10,35,30,26,42.09031177482679,105.98151160059138
"default",23,40,29,29,143.14004351478397,60
"default",30,46,22,17,304.7150393998642,150
"budget",24,35,0,0,483.24899989240606,848.7638069569177
"default",17,24,27,24,116.8426348618244,50
"default",30,43,25,25,192.19511219267397,90
"default",29,16,24,40,248.24832909755887,120
"normal",15,40,25,25,25.980828847460998,103.85823190128744
"default",35,23,36,40,177.65582202162813,90
"default",14,40,47,47,340.65194295095193,170
"default",21,21,28,17,89.0157777263042,40
"default",41,13,35,23,125.8762759416432,60
"default",25,25,23,16,107.30122963476238,50
"default",38,28,22,26,162.54327285784507,80
"default",10,31,26,37,190.50378442322287,90
"default",40,7,46,30,245.29193840708817,120
"default",30,42,11,36,211.61780630906935,100
"default",10,19,20,12,136.8731799881536,60
"default",20,29,31,16,181.386204636985,90
"default",10,25,38,28,283.15433508285633,140
"default",34,15,26,26,141.3750449252537,70
"default",24,29,15,45,192.3114496953351,90
"budget",10,35,20,0,418.3284826507721,728.0109889280518
"default",10,36,40,13,390.7787531555408,190
"default",47,30,6,35,418.89785424549115,210
"default",42,42,24,34,210.68952741703504,100
"default",24,32,30,27,83.77812389710203,40
"default",20,25,21,40,154.89180005249284,80
"default",29,29,34,15,160.68193940419798,70
"default",30,16,19,10,128.45521701612674,60
"default",22,27,35,15,184.44380970985762,90
"default",13,24,1,35,164.30770412220753,80
"default",29,39,13,34,175.67187508931943,80
"default",40,16,49,49,344.3423761691064,170
